algorithm-1,algorithm-2,algorithm-3,algorithm-4,T1(n),T2(n),T3(n),T4(n)
3237,1407,1359,738,1766,685,605,145,
3558,932,830,189,5046,1475,1030,215,
8083,1561,671,260,10926,2565,1490,285,
14470,3043,821,64,20156,3955,1975,355,
2830,1615,972,69,33486,5645,2480,425,
4075,543,1139,76,51666,7635,3003,495,
5611,691,1382,82,75446,9925,3540,565,
7702,859,1487,89,105576,12515,4089,635,
9735,1054,835,95,142806,15405,4650,705,
12380,1303,888,101,187886,18595,5221,775,
15673,1480,971,108,241566,22085,5801,845,
19208,1733,1068,114,304596,25875,6390,915,
23176,2039,1149,119,377726,29965,6986,985,
27944,2327,1202,133,461706,34355,7590,1055,
33210,2578,1281,134,557286,39045,8200,1125,
39163,2914,1367,141,665216,44035,8817,1195,
45630,3247,1422,148,786246,49325,9439,1265,
53022,3614,1493,154,921126,54915,10067,1335,
61321,3996,1563,160,1070606,60805,10701,1405,
